,ID,Name,Generation,Type 1,Type 2,Attack,Defense,Stamina,Max CP,Max HP,Height (m),Weight (kg),Base Capture Rate (%),Base Flee Rate (%),Distance to Candy (km),Image URL,Summary,About,Is Legendary
172,154,meganium,2,Grass,,168,202,190,2410,162,1.8,100.5,5.0,5.0,3,https://images.gameinfo.io/pokemon/256/154-00.png,"Meganium is a Grass Pokémon which evolves from Bayleef. It is vulnerable to Fire, Flying, Poison, Bug and Ice moves. Meganium's strongest moveset is Vine Whip & Frenzy Plant and it has a Max CP of 2,410.","The fragrance of Meganium's flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe's fighting spirit.",False
173,155,cyndaquil,2,Fire,,116,93,118,980,105,0.51,7.9,20.0,10.0,3,https://images.gameinfo.io/pokemon/256/155-00.png,"Cyndaquil is a Fire Pokémon. It is vulnerable to Ground, Rock and Water moves. Cyndaquil's strongest moveset is Ember & Flamethrower and it has a Max CP of 980. Cyndaquil evolves into Quilava.","Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",False
174,156,quilava,2,Fire,,158,126,151,1653,131,0.89,19.0,12.5,7.0,3,https://images.gameinfo.io/pokemon/256/156-00.png,"Quilava is a Fire Pokémon which evolves from Cyndaquil. It is vulnerable to Ground, Rock and Water moves. Quilava's strongest moveset is Ember & Flamethrower and it has a Max CP of 1,653. Quilava evolves into Typhlosion.",Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,False
175,157,typhlosion,2,Fire,,223,173,186,2889,158,1.7,79.5,5.0,5.0,3,https://images.gameinfo.io/pokemon/256/157-00.png,"Typhlosion is a Fire Pokémon which evolves from Quilava. It is vulnerable to Ground, Rock and Water moves. Typhlosion's strongest moveset is Ember & Blast Burn and it has a Max CP of 2,889.",Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,False
176,158,totodile,2,Water,,117,109,137,1131,120,0.61,9.5,20.0,10.0,3,https://images.gameinfo.io/pokemon/256/158-00.png,"Totodile is a Water Pokémon. It is vulnerable to Grass and Electric moves. Totodile's strongest moveset is Water Gun & Water Pulse and it has a Max CP of 1,131. Totodile evolves into Croconaw.","Despite the smallness of its body, Totodile's jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",False
177,159,croconaw,2,Water,,150,142,163,1722,140,1.09,25.0,12.5,7.0,3,https://images.gameinfo.io/pokemon/256/159-00.png,"Croconaw is a Water Pokémon which evolves from Totodile. It is vulnerable to Grass and Electric moves. Croconaw's strongest moveset is Water Gun & Water Pulse and it has a Max CP of 1,722. Croconaw evolves into Feraligatr.","Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",False
178,160,feraligatr,2,Water,,205,188,198,2857,168,2.31,88.8,5.0,5.0,3,https://images.gameinfo.io/pokemon/256/160-00.png,"Feraligatr is a Water Pokémon which evolves from Croconaw. It is vulnerable to Grass and Electric moves. Feraligatr's strongest moveset is Ice Fang & Hydro Cannon and it has a Max CP of 2,857.","Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",False
179,161,sentret,2,Normal,,79,73,111,618,99,0.79,6.0,50.0,20.0,1,https://images.gameinfo.io/pokemon/256/161-00.png,Sentret is a Normal Pokémon. It is vulnerable to Fighting moves. Sentret's strongest moveset is Quick Attack & Grass Knot and it has a Max CP of 618. Sentret evolves into Furret.,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",False
180,162,furret,2,Normal,,148,125,198,1758,168,1.8,32.5,15.0,7.0,1,https://images.gameinfo.io/pokemon/256/162-00.png,"Furret is a Normal Pokémon which evolves from Sentret. It is vulnerable to Fighting moves. Furret's strongest moveset is Quick Attack & Hyper Beam and it has a Max CP of 1,758.","Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",False
181,163,hoothoot,2,Normal,Flying,67,88,155,677,134,0.71,21.2,50.0,15.0,1,https://images.gameinfo.io/pokemon/256/163-00.png,"Hoothoot is a Normal & Flying Pokémon. It is vulnerable to Ice, Rock and Electric moves. Hoothoot's strongest moveset is Peck & Sky Attack and it has a Max CP of 677. Hoothoot evolves into Noctowl.","Hoothoot has an internal organ that senses and tracks the earth's rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.",False
182,164,noctowl,2,Normal,Flying,145,156,225,2024,189,1.6,40.8,15.0,7.0,1,https://images.gameinfo.io/pokemon/256/164-00.png,"Noctowl is a Normal & Flying Pokémon which evolves from Hoothoot. It is vulnerable to Ice, Rock and Electric moves. Noctowl's strongest moveset is Wing Attack & Sky Attack and it has a Max CP of 2,024.","Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.",False
183,165,ledyba,2,Bug,Flying,72,118,120,728,106,0.99,10.8,50.0,20.0,1,https://images.gameinfo.io/pokemon/256/165-00.png,"Ledyba is a Bug & Flying Pokémon. It is vulnerable to Rock, Fire, Flying, Ice and Electric moves. Ledyba's strongest moveset is Bug Bite & Aerial Ace and it has a Max CP of 728. Ledyba evolves into Ledian.",Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid's scent.,False
184,166,ledian,2,Bug,Flying,107,179,146,1346,127,1.4,35.6,15.0,7.0,1,https://images.gameinfo.io/pokemon/256/166-00.png,"Ledian is a Bug & Flying Pokémon which evolves from Ledyba. It is vulnerable to Rock, Fire, Flying, Ice and Electric moves. Ledian's strongest moveset is Bug Bite & Bug Buzz and it has a Max CP of 1,346.","It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.",False
185,167,spinarak,2,Bug,Poison,105,73,120,816,106,0.51,8.5,50.0,20.0,1,https://images.gameinfo.io/pokemon/256/167-00.png,"Spinarak is a Bug & Poison Pokémon. It is vulnerable to Fire, Flying, Rock and Psychic moves. Spinarak's strongest moveset is Bug Bite & Signal Beam and it has a Max CP of 816. Spinarak evolves into Ariados.",The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web's strands.,False
186,168,ariados,2,Bug,Poison,161,124,172,1772,147,1.09,33.5,15.0,7.0,1,https://images.gameinfo.io/pokemon/256/168-00.png,"Ariados is a Bug & Poison Pokémon which evolves from Spinarak. It is vulnerable to Fire, Flying, Rock and Psychic moves. Ariados's strongest moveset is Infestation & Megahorn and it has a Max CP of 1,772.",Ariados's feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,False
187,170,chinchou,2,Water,Electric,106,97,181,1119,154,0.51,12.0,40.0,10.0,3,https://images.gameinfo.io/pokemon/256/170-00.png,"Chinchou is a Water & Electric Pokémon. It is vulnerable to Ground and Grass moves. Chinchou's strongest moveset is Bubble & Thunderbolt and it has a Max CP of 1,119. Chinchou evolves into Lanturn.",Chinchou lets loose positive and negative electrical charges from its two antennas to make its prey faint. This Pokémon flashes its electric lights to exchange signals with others.,False
188,171,lanturn,2,Water,Electric,146,137,268,2085,223,1.19,22.5,15.0,7.0,3,https://images.gameinfo.io/pokemon/256/171-00.png,"Lanturn is a Water & Electric Pokémon which evolves from Chinchou. It is vulnerable to Ground and Grass moves. Lanturn's strongest moveset is Spark & Thunderbolt and it has a Max CP of 2,085.",Lanturn is nicknamed “the deep-sea star” for its illuminated antenna. This Pokémon produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna.,False
189,175,togepi,2,Fairy,,67,116,111,657,99,0.3,1.5,0.0,5.0,3,https://images.gameinfo.io/pokemon/256/175-00.png,Togepi is a Fairy Pokémon. It is vulnerable to Steel and Poison moves. Togepi's strongest moveset is Hidden Power & Dazzling Gleam and it has a Max CP of 657. Togepi evolves into Togetic.,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.",False
190,176,togetic,2,Fairy,Flying,139,181,146,1708,127,0.61,3.2,20.0,5.0,3,https://images.gameinfo.io/pokemon/256/176-00.png,"Togetic is a Fairy & Flying Pokémon which evolves from Togepi. It is vulnerable to Steel, Ice, Poison, Rock and Electric moves. Togetic's strongest moveset is Extrasensory & Dazzling Gleam and it has a Max CP of 1,708. Togetic evolves into Togekiss.","Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.",False
191,177,natu,2,Psychic,Flying,134,89,120,1102,106,0.2,2.0,40.0,15.0,3,https://images.gameinfo.io/pokemon/256/177-00.png,"Natu is a Psychic & Flying Pokémon. It is vulnerable to Dark, Ice, Rock, Electric and Ghost moves. Natu's strongest moveset is Quick Attack & Drill Peck and it has a Max CP of 1,102. Natu evolves into Xatu.","Natu cannot fly because its wings are not yet fully grown. If your eyes meet with this Pokémon's eyes, it will stare back intently at you. But if you move even slightly, it will hop away to safety.",False
192,178,xatu,2,Psychic,Flying,192,146,163,2188,140,1.5,15.0,15.0,7.0,3,https://images.gameinfo.io/pokemon/256/178-00.png,"Xatu is a Psychic & Flying Pokémon which evolves from Natu. It is vulnerable to Dark, Ice, Rock, Electric and Ghost moves. Xatu's strongest moveset is Air Slash & Future Sight and it has a Max CP of 2,188.",Xatu stands rooted and still in one spot all day long. People believe that this Pokémon does so out of fear of the terrible things it has foreseen in the future.,False
193,179,mareep,2,Electric,,114,79,146,991,127,0.61,7.8,50.0,10.0,5,https://images.gameinfo.io/pokemon/256/179-00.png,Mareep is an Electric Pokémon. It is vulnerable to Ground moves. Mareep's strongest moveset is Thunder Shock & Thunderbolt and it has a Max CP of 991. Mareep evolves into Flaaffy.,"Mareep's fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.",False
194,180,flaaffy,2,Electric,,145,109,172,1521,147,0.79,13.3,25.0,7.0,5,https://images.gameinfo.io/pokemon/256/180-00.png,"Flaaffy is an Electric Pokémon which evolves from Mareep. It is vulnerable to Ground moves. Flaaffy's strongest moveset is Charge Beam & Thunderbolt and it has a Max CP of 1,521. Flaaffy evolves into Ampharos.",Flaaffy's wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,False
195,181,ampharos,2,Electric,,211,169,207,2852,175,1.4,61.5,12.5,5.0,5,https://images.gameinfo.io/pokemon/256/181-00.png,"Ampharos is an Electric Pokémon which evolves from Flaaffy. It is vulnerable to Ground moves. Ampharos's strongest moveset is Volt Switch & Zap Cannon and it has a Max CP of 2,852.",Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,False
196,183,marill,2,Water,Fairy,37,93,172,461,147,0.41,8.5,50.0,10.0,3,https://images.gameinfo.io/pokemon/256/183-00.png,"Marill is a Water & Fairy Pokémon which evolves from Azurill. It is vulnerable to Poison, Electric and Grass moves. Marill's strongest moveset is Bubble & Aqua Tail and it has a Max CP of 461. Marill evolves into Azumarill.","Marill's oil-filled tail acts much like a life preserver. If you see just its tail bobbing on the water's surface, it's a sure indication that this Pokémon is diving beneath the water to feed on aquatic plants.",False
197,184,azumarill,2,Water,Fairy,112,152,225,1588,189,0.79,28.5,15.0,7.0,3,https://images.gameinfo.io/pokemon/256/184-00.png,"Azumarill is a Water & Fairy Pokémon which evolves from Marill. It is vulnerable to Poison, Electric and Grass moves. Azumarill's strongest moveset is Bubble & Play Rough and it has a Max CP of 1,588.","Azumarill's long ears are indispensable sensors. By focusing its hearing, this Pokémon can identify what kinds of prey are around, even in rough and fast-running rivers.",False
198,185,sudowoodo,2,Rock,,167,176,172,2148,147,1.19,38.0,12.5,5.0,5,https://images.gameinfo.io/pokemon/256/185-00.png,"Sudowoodo is a Rock Pokémon which evolves from Bonsly. It is vulnerable to Steel, Ground, Fighting, Water and Grass moves. Sudowoodo's strongest moveset is Rock Throw & Rock Slide and it has a Max CP of 2,148.","Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.",False
199,187,hoppip,2,Grass,Flying,67,94,111,600,99,0.41,0.5,50.0,12.0,3,https://images.gameinfo.io/pokemon/256/187-00.png,"Hoppip is a Grass & Flying Pokémon. It is vulnerable to Ice, Fire, Flying, Poison and Rock moves. Hoppip's strongest moveset is Bullet Seed & Grass Knot and it has a Max CP of 600. Hoppip evolves into Skiploom.","This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",False
200,188,skiploom,2,Grass,Flying,91,120,146,976,127,0.61,1.0,25.0,7.0,3,https://images.gameinfo.io/pokemon/256/188-00.png,"Skiploom is a Grass & Flying Pokémon which evolves from Hoppip. It is vulnerable to Ice, Fire, Flying, Poison and Rock moves. Skiploom's strongest moveset is Bullet Seed & Grass Knot and it has a Max CP of 976. Skiploom evolves into Jumpluff.","Skiploom's flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",False
201,189,jumpluff,2,Grass,Flying,118,183,181,1636,154,0.79,3.0,12.5,5.0,3,https://images.gameinfo.io/pokemon/256/189-00.png,"Jumpluff is a Grass & Flying Pokémon which evolves from Skiploom. It is vulnerable to Ice, Fire, Flying, Poison and Rock moves. Jumpluff's strongest moveset is Infestation & Solar Beam and it has a Max CP of 1,636.",Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,False
202,190,aipom,2,Normal,,136,112,146,1348,127,0.79,11.5,20.0,9.0,3,https://images.gameinfo.io/pokemon/256/190-00.png,"Aipom is a Normal Pokémon. It is vulnerable to Fighting moves. Aipom's strongest moveset is Scratch & Swift and it has a Max CP of 1,348. Aipom evolves into Ambipom.","Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.",False
203,191,sunkern,2,Grass,,55,55,102,395,92,0.3,1.8,50.0,9.0,3,https://images.gameinfo.io/pokemon/256/191-00.png,"Sunkern is a Grass Pokémon. It is vulnerable to Fire, Flying, Poison, Bug and Ice moves. Sunkern's strongest moveset is Razor Leaf & Grass Knot and it has a Max CP of 395. Sunkern evolves into Sunflora.","Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",False
204,192,sunflora,2,Grass,,185,135,181,2141,154,0.79,8.5,10.0,7.0,3,https://images.gameinfo.io/pokemon/256/192-00.png,"Sunflora is a Grass Pokémon which evolves from Sunkern. It is vulnerable to Fire, Flying, Poison, Bug and Ice moves. Sunflora's strongest moveset is Razor Leaf & Solar Beam and it has a Max CP of 2,141.",Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,False
205,193,yanma,2,Bug,Flying,154,94,163,1470,140,1.19,38.0,30.0,10.0,3,https://images.gameinfo.io/pokemon/256/193-00.png,"Yanma is a Bug & Flying Pokémon. It is vulnerable to Rock, Fire, Flying, Ice and Electric moves. Yanma's strongest moveset is Wing Attack & Aerial Ace and it has a Max CP of 1,470. Yanma evolves into Yanmega.",Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,False
206,194,wooper,2,Water,Ground,75,66,146,641,127,0.41,8.5,40.0,10.0,3,https://images.gameinfo.io/pokemon/256/194-00.png,Wooper is a Water & Ground Pokémon. It is vulnerable to Grass moves. Wooper's strongest moveset is Water Gun & Mud Bomb and it has a Max CP of 641. Wooper evolves into Quagsire.,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.",False
207,195,quagsire,2,Water,Ground,152,143,216,1992,182,1.4,75.0,15.0,7.0,3,https://images.gameinfo.io/pokemon/256/195-00.png,"Quagsire is a Water & Ground Pokémon which evolves from Wooper. It is vulnerable to Grass moves. Quagsire's strongest moveset is Water Gun & Earthquake and it has a Max CP of 1,992.","Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.",False
208,198,murkrow,2,Dark,Flying,175,87,155,1562,134,0.51,2.1,20.0,10.0,3,https://images.gameinfo.io/pokemon/256/198-00.png,"Murkrow is a Dark & Flying Pokémon. It is vulnerable to Fairy, Ice, Electric and Rock moves. Murkrow's strongest moveset is Feint Attack & Foul Play and it has a Max CP of 1,562. Murkrow evolves into Honchkrow.",Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,False
209,200,misdreavus,2,Ghost,,167,154,155,1926,134,0.71,1.0,30.0,7.0,3,https://images.gameinfo.io/pokemon/256/200-00.png,"Misdreavus is a Ghost Pokémon. It is vulnerable to Dark and Ghost moves. Misdreavus's strongest moveset is Hex & Return and it has a Max CP of 1,926. Misdreavus evolves into Mismagius.","Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.",False
210,201,unown,2,Psychic,,136,91,134,1185,117,0.51,5.0,30.0,10.0,5,https://images.gameinfo.io/pokemon/256/201-00.png,"Unown is a Psychic Pokémon. It is vulnerable to Bug, Dark and Ghost moves. Unown's strongest moveset is Hidden Power & Struggle and it has a Max CP of 1,185.","This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",False
211,202,wobbuffet,2,Psychic,,60,106,382,1026,313,1.3,28.5,25.0,7.0,3,https://images.gameinfo.io/pokemon/256/202-00.png,"Wobbuffet is a Psychic Pokémon. It is vulnerable to Bug, Dark and Ghost moves. Wobbuffet's strongest moveset is Counter & Return and it has a Max CP of 1,026.","If two or more Wobbuffet meet, they will turn competitive and try to outdo each other's endurance. However, they may try to see which one can endure the longest without food. Trainers need to beware of this habit.",False
212,203,girafarig,2,Normal,Psychic,182,133,172,2046,147,1.5,41.5,30.0,7.0,3,https://images.gameinfo.io/pokemon/256/203-00.png,"Girafarig is a Normal & Psychic Pokémon. It is vulnerable to Bug and Dark moves. Girafarig's strongest moveset is Confusion & Psychic and it has a Max CP of 2,046.","Girafarig's rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite.",False
213,204,pineco,2,Bug,,108,122,137,1108,120,0.61,7.2,40.0,12.0,5,https://images.gameinfo.io/pokemon/256/204-00.png,"Pineco is a Bug Pokémon. It is vulnerable to Fire, Flying and Rock moves. Pineco's strongest moveset is Bug Bite & Gyro Ball and it has a Max CP of 1,108. Pineco evolves into Forretress.","Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree, it drops down to the ground and explodes with no warning.",False
214,205,forretress,2,Bug,Steel,161,205,181,2282,154,1.19,125.8,15.0,7.0,5,https://images.gameinfo.io/pokemon/256/205-00.png,"Forretress is a Bug & Steel Pokémon which evolves from Pineco. It is vulnerable to Fire moves. Forretress's strongest moveset is Bug Bite & Heavy Slam and it has a Max CP of 2,282.","Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey, but it does so at such a quick pace that the shell's inside cannot be seen.",False
215,206,dunsparce,2,Normal,,131,128,225,1689,189,1.5,14.0,30.0,20.0,3,https://images.gameinfo.io/pokemon/256/206-00.png,"Dunsparce is a Normal Pokémon. It is vulnerable to Fighting moves. Dunsparce's strongest moveset is Bite & Rock Slide and it has a Max CP of 1,689.",Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.,False
216,207,gligar,2,Ground,Flying,143,184,163,1857,140,1.09,64.8,20.0,7.0,5,https://images.gameinfo.io/pokemon/256/207-00.png,"Gligar is a Ground & Flying Pokémon. It is vulnerable to Ice and Water moves. Gligar's strongest moveset is Wing Attack & Dig and it has a Max CP of 1,857. Gligar evolves into Gliscor.","Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",False
217,209,snubbull,2,Fairy,,137,85,155,1237,134,0.61,7.8,40.0,10.0,3,https://images.gameinfo.io/pokemon/256/209-00.png,"Snubbull is a Fairy Pokémon. It is vulnerable to Steel and Poison moves. Snubbull's strongest moveset is Tackle & Dazzling Gleam and it has a Max CP of 1,237. Snubbull evolves into Granbull.","By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.",False
218,210,granbull,2,Fairy,,212,131,207,2552,175,1.4,48.7,15.0,8.0,3,https://images.gameinfo.io/pokemon/256/210-00.png,"Granbull is a Fairy Pokémon which evolves from Snubbull. It is vulnerable to Steel and Poison moves. Granbull's strongest moveset is Charm & Play Rough and it has a Max CP of 2,552.","Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.",False
219,211,qwilfish,2,Water,Poison,184,138,163,2051,140,0.51,3.9,30.0,8.0,3,https://images.gameinfo.io/pokemon/256/211-00.png,"Qwilfish is a Water & Poison Pokémon. It is vulnerable to Ground, Psychic and Electric moves. Qwilfish's strongest moveset is Water Gun & Aqua Tail and it has a Max CP of 2,051.","Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.",False
220,213,shuckle,2,Bug,Rock,17,396,85,405,79,0.61,20.5,30.0,7.0,3,https://images.gameinfo.io/pokemon/256/213-00.png,"Shuckle is a Bug & Rock Pokémon. It is vulnerable to Water, Rock and Steel moves. Shuckle's strongest moveset is Rock Throw & Stone Edge and it has a Max CP of 405.","Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.",False
221,214,heracross,2,Bug,Fighting,234,179,190,3101,162,1.5,54.0,30.0,9.0,3,https://images.gameinfo.io/pokemon/256/214-00.png,"Heracross is a regional Bug & Fighting Pokémon. It is vulnerable to Flying, Fairy, Psychic and Fire moves. Heracross's strongest moveset is Counter & Megahorn and it has a Max CP of 3,101. This Pokémon is only found in Latin America, south Florida, and Texas.","Heracross charges in a straight line at its foe, slips beneath the foe's grasp, and then scoops up and hurls the opponent with its mighty horn. This Pokémon even has enough power to topple a massive tree.",False
222,215,sneasel,2,Dark,Ice,189,146,146,2051,127,0.89,28.0,20.0,7.0,3,https://images.gameinfo.io/pokemon/256/215-00.png,"Sneasel is a Dark & Ice Pokémon. It is vulnerable to Fighting, Fairy, Bug, Steel, Fire and Rock moves. Sneasel's strongest moveset is Feint Attack & Avalanche and it has a Max CP of 2,051. Sneasel evolves into Weavile.",Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,False
223,216,teddiursa,2,Normal,,142,93,155,1328,134,0.61,8.8,50.0,20.0,3,https://images.gameinfo.io/pokemon/256/216-00.png,"Teddiursa is a Normal Pokémon. It is vulnerable to Fighting moves. Teddiursa's strongest moveset is Scratch & Play Rough and it has a Max CP of 1,328. Teddiursa evolves into Ursaring.",This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,False
224,217,ursaring,2,Normal,,236,144,207,2945,175,1.8,125.8,15.0,7.0,3,https://images.gameinfo.io/pokemon/256/217-00.png,"Ursaring is a Normal Pokémon which evolves from Teddiursa. It is vulnerable to Fighting moves. Ursaring's strongest moveset is Counter & Hyper Beam and it has a Max CP of 2,945.","In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",False
225,218,slugma,2,Fire,,118,71,120,895,106,0.71,35.0,30.0,10.0,1,https://images.gameinfo.io/pokemon/256/218-00.png,"Slugma is a Fire Pokémon. It is vulnerable to Ground, Rock and Water moves. Slugma's strongest moveset is Ember & Flame Burst and it has a Max CP of 895. Slugma evolves into Magcargo.","Molten magma courses throughout Slugma's circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size.",False
226,219,magcargo,2,Fire,Rock,139,191,137,1702,120,0.79,55.0,12.5,6.0,1,https://images.gameinfo.io/pokemon/256/219-00.png,"Magcargo is a Fire & Rock Pokémon which evolves from Slugma. It is vulnerable to Water, Ground, Rock and Fighting moves. Magcargo's strongest moveset is Rock Throw & Overheat and it has a Max CP of 1,702.",Magcargo's shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.,False
227,220,swinub,2,Ice,Ground,90,69,137,741,120,0.41,6.5,30.0,10.0,3,https://images.gameinfo.io/pokemon/256/220-00.png,"Swinub is an Ice & Ground Pokémon. It is vulnerable to Fire, Fighting, Grass, Water and Steel moves. Swinub's strongest moveset is Powder Snow & Rock Slide and it has a Max CP of 741. Swinub evolves into Piloswine.",Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,False
228,221,piloswine,2,Ice,Ground,181,138,225,2345,189,1.09,55.8,12.5,6.0,3,https://images.gameinfo.io/pokemon/256/221-00.png,"Piloswine is an Ice & Ground Pokémon which evolves from Swinub. It is vulnerable to Fire, Fighting, Grass, Water and Steel moves. Piloswine's strongest moveset is Ice Shard & Avalanche and it has a Max CP of 2,345. Piloswine evolves into Mamoswine.",Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,False
229,222,corsola,2,Water,Rock,118,156,146,1378,127,0.61,5.0,30.0,12.0,3,https://images.gameinfo.io/pokemon/256/222-00.png,"Corsola is a regional Water & Rock Pokémon. It is vulnerable to Grass, Ground, Fighting and Electric moves. Corsola's strongest moveset is Bubble & Power Gem and it has a Max CP of 1,378. This Pokémon is only found in Tropics, near to the sea.","Corsola's branches glitter very beautifully in seven colors when they catch sunlight. If any branch breaks off, this Pokémon grows it back in just one night.",False
230,223,remoraid,2,Water,,127,69,111,912,99,0.61,12.0,50.0,10.0,1,https://images.gameinfo.io/pokemon/256/223-00.png,Remoraid is a Water Pokémon. It is vulnerable to Grass and Electric moves. Remoraid's strongest moveset is Water Gun & Water Pulse and it has a Max CP of 912. Remoraid evolves into Octillery.,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.",False
231,224,octillery,2,Water,,197,141,181,2315,154,0.89,28.5,15.0,7.0,1,https://images.gameinfo.io/pokemon/256/224-00.png,"Octillery is a Water Pokémon which evolves from Remoraid. It is vulnerable to Grass and Electric moves. Octillery's strongest moveset is Water Gun & Gunk Shot and it has a Max CP of 2,315.","Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.",False
